Created On,Machine User,Parts Area (m²),Number Of Parts,Cut Order,Oper_StartDate,ProductionWorkOrders,Processed,Cutting Log,State,Material,Cutting Log Representation,Cut Start,Cut End,Cut Time (s),Tool,Insert,Count
2021-12-02T17:56:41Z,admin,3.849432,60,,,,,1,Cut,,Images\1503.png,2021-12-02T17:56:42Z,2021-12-02T17:57:00Z,17,DRT,Z53,208
2021-12-02T17:57:31Z,admin,3.849432,60,,,,,2,Cut,,Images\1504.png,2021-12-02T17:57:32Z,2021-12-02T17:58:57Z,84,DRT,Z53,208
2021-12-20T11:21:11Z,admin,2.972734,12,,,,,3,Cut,,Images\1756.png,2021-12-20T11:21:15Z,2021-12-20T11:21:16Z,1,DRT,Z50,47
2021-12-20T11:25:06Z,admin,0.287290,3,18,,0,0,4,Cut,,Images\1757.png,2021-12-20T11:25:08Z,2021-12-20T11:25:09Z,1,DRT,Z50,3
2021-12-27T15:00:08Z,admin,0.000000,0,,,,,5,Aborted,,Images\1815.png,2021-12-27T15:00:09Z,2021-12-27T15:01:05Z,55,EOT,Z42,2
2021-12-27T16:05:00Z,admin,0.228397,2,,,,,6,Cut,,Images\1817.png,2021-12-27T16:05:01Z,2021-12-27T16:05:03Z,1,DRT,Z50,3
2021-12-27T16:05:03Z,admin,0.000000,0,,,,,7,Cut,,Images\1818.png,,,0,,,
2021-12-27T16:05:04Z,admin,0.000000,0,,,,,8,Cut,,Images\1819.png,,,0,,,
2021-12-27T16:06:22Z,admin,0.000000,0,,,,,9,Aborted,,Images\1820.png,2021-12-27T16:06:23Z,2021-12-27T16:06:47Z,23,EOT,Z42,1
2021-12-27T16:08:13Z,admin,1.377224,33,,,,,10,Cut,,Images\1821.png,2021-12-27T16:08:14Z,2021-12-27T16:09:57Z,102,DRT,Z50,57
2021-12-27T16:10:08Z,admin,1.377224,33,,,,,11,Cut,,Images\1822.png,2021-12-27T16:10:09Z,2021-12-27T16:10:16Z,7,DRT,Z50,57
2021-12-27T16:10:34Z,admin,1.377224,33,,,,,12,Cut,,Images\1823.png,2021-12-27T16:10:36Z,2021-12-27T16:10:43Z,7,DRT,Z50,57
2021-12-27T16:11:25Z,admin,0.742509,20,,,,,13,Cut,,Images\1824.png,2021-12-27T16:11:26Z,2021-12-27T16:11:31Z,4,DRT,Z50,35
2021-12-27T16:11:35Z,admin,0.634715,13,,,,,14,Cut,,Images\1825.png,2021-12-27T16:11:37Z,2021-12-27T16:11:44Z,6,DRT,Z50,27
2021-12-27T16:11:55Z,admin,1.852659,21,,,,,15,Cut,,Images\1826.png,2021-12-27T16:11:56Z,2021-12-27T16:12:11Z,14,EOT,Z42,318
2021-12-27T16:12:29Z,admin,0.584802,13,,,,,16,Cut,,Images\1827.png,2021-12-27T16:12:30Z,2021-12-27T16:12:37Z,6,EOT,Z42,118
2022-01-06T09:12:18Z,admin,3.603779,20,22,,0,0,17,Cut,,Images\1831.png,2022-01-06T09:12:19Z,2022-01-06T09:12:24Z,4,DRT,Z50,136
2022-01-06T09:12:27Z,admin,3.603779,20,22,,0,0,18,Cut,,Images\1832.png,2022-01-06T09:12:28Z,2022-01-06T09:12:31Z,2,DRT,Z50,136
2022-01-06T09:12:50Z,admin,2.405402,20,22,,0,0,19,Cut,,Images\1833.png,2022-01-06T09:12:51Z,2022-01-06T09:12:53Z,2,DRT,Z50,128
2022-01-06T09:13:44Z,admin,2.521780,12,22,,0,0,20,Cut,,Images\1834.png,2022-01-06T09:13:45Z,2022-01-06T09:13:48Z,1,DRT,Z50,84
2022-01-06T09:13:49Z,admin,0.000000,0,,,,,21,Cut,,Images\1835.png,,,0,,,
2022-01-06T09:29:02Z,admin,2.625942,12,23,,0,0,22,Cut,,Images\1839.png,2022-01-06T09:29:03Z,2022-01-06T09:29:04Z,1,DRT,Z53,84
2022-01-06T09:29:38Z,admin,1.325855,6,23,,0,0,23,Cut,,Images\1840.png,2022-01-06T09:29:39Z,2022-01-06T09:29:40Z,1,DRT,Z53,42
2022-01-06T09:29:45Z,admin,2.600173,12,23,,0,0,24,Cut,,Images\1841.png,2022-01-06T09:29:46Z,2022-01-06T09:29:48Z,1,DRT,Z53,84
2022-01-06T09:30:02Z,admin,2.486535,11,23,,0,0,25,Cut,,Images\1842.png,2022-01-06T09:30:03Z,2022-01-06T09:30:05Z,1,DRT,Z53,79
2022-01-06T09:30:10Z,admin,2.600173,12,23,,0,0,26,Cut,,Images\1843.png,2022-01-06T09:30:11Z,2022-01-06T09:30:15Z,4,DRT,Z53,84
2022-01-06T09:30:20Z,admin,2.580956,11,23,,0,0,27,Cut,,Images\1844.png,2022-01-06T09:30:21Z,2022-01-06T09:30:22Z,1,DRT,Z53,83
2022-01-06T09:30:45Z,admin,0.330352,2,23,,0,0,28,Cut,,Images\1845.png,2022-01-06T09:30:46Z,2022-01-06T09:30:47Z,1,DRT,Z53,10
2022-01-06T09:30:52Z,admin,2.625942,12,23,,0,0,29,Cut,,Images\1846.png,2022-01-06T09:30:53Z,2022-01-06T09:30:56Z,2,DRT,Z53,84
2022-01-06T09:31:55Z,admin,2.366345,11,23,,0,0,30,Cut,,Images\1847.png,2022-01-06T09:31:56Z,2022-01-06T09:31:58Z,1,DRT,Z53,75
